,Scoring Function,Clustering Metric,aldr,hdac2,cdk2,igf1r,nram,Average
0,RFScoreVS,bestpose,20.62,2.58,12.92,15.49,12.82,12.886000000000001
1,PLECnn,bestpose,0.0,5.16,2.58,2.58,2.56,2.576
2,KORPL,bestpose,0.0,12.91,15.5,15.49,17.95,12.37
3,CHEMPLP,bestpose,18.04,5.16,0.0,5.16,5.13,6.698
4,ConvexPLR,bestpose,5.15,0.0,2.58,10.32,0.0,3.6100000000000003
5,GNINA_Affinity,bestpose,7.73,10.32,0.0,7.74,0.0,5.1579999999999995
6,CNN-Score,bestpose,15.46,0.0,2.58,15.49,15.39,9.784
7,CNN-Affinity,bestpose,12.89,2.58,0.0,15.49,5.13,7.218000000000001
8,AD4,bestpose,7.73,5.16,0.0,12.91,0.0,5.16
9,NNscore,bestpose,0.0,5.16,2.58,7.74,0.0,3.096
10,Vinardo,bestpose,10.31,12.91,2.58,10.32,0.0,7.223999999999999
11,RTMScore,bestpose,15.46,2.58,12.92,20.65,25.65,15.451999999999998
12,SCORCH,bestpose,0.0,2.58,7.75,2.58,2.56,3.0940000000000003
13,LinF9,bestpose,5.15,0.0,2.58,7.74,2.56,3.6060000000000003
14,RFScoreVS,bestpose_SMINA,25.75,2.58,12.92,12.91,17.92,14.416
15,PLECnn,bestpose_SMINA,0.0,2.58,0.0,2.58,0.0,1.032
16,KORPL,bestpose_SMINA,0.0,2.58,7.75,12.91,12.8,7.208000000000001
17,CHEMPLP,bestpose_SMINA,18.02,2.58,0.0,5.16,5.12,6.176
18,ConvexPLR,bestpose_SMINA,0.0,0.0,5.17,12.91,0.0,3.6159999999999997
19,GNINA_Affinity,bestpose_SMINA,5.15,7.74,0.0,10.32,0.0,4.642
20,CNN-Score,bestpose_SMINA,12.88,0.0,2.58,10.32,5.12,6.180000000000001
21,CNN-Affinity,bestpose_SMINA,10.3,2.58,2.58,12.91,2.56,6.186
22,AD4,bestpose_SMINA,7.72,2.58,0.0,10.32,0.0,4.1240000000000006
23,NNscore,bestpose_SMINA,0.0,2.58,0.0,5.16,2.56,2.06
24,Vinardo,bestpose_SMINA,10.3,7.74,2.58,7.74,0.0,5.672
25,RTMScore,bestpose_SMINA,5.15,2.58,15.5,20.65,10.24,10.824
26,SCORCH,bestpose_SMINA,0.0,0.0,5.17,2.58,7.68,3.086
27,LinF9,bestpose_SMINA,2.58,0.0,0.0,10.32,2.56,3.092
28,RFScoreVS,bestpose_GNINA,18.02,2.58,7.75,12.91,12.8,10.812000000000001
29,PLECnn,bestpose_GNINA,0.0,5.16,2.58,2.58,0.0,2.064
30,KORPL,bestpose_GNINA,0.0,7.74,15.5,12.91,17.92,10.814000000000002
31,CHEMPLP,bestpose_GNINA,15.45,2.58,0.0,5.16,2.56,5.15
32,ConvexPLR,bestpose_GNINA,2.58,2.58,5.17,7.74,2.56,4.1259999999999994
33,GNINA_Affinity,bestpose_GNINA,7.72,10.32,0.0,10.32,2.56,6.183999999999999
34,CNN-Score,bestpose_GNINA,10.3,0.0,2.58,15.49,12.8,8.234
35,CNN-Affinity,bestpose_GNINA,10.3,2.58,0.0,15.49,5.12,6.698
36,AD4,bestpose_GNINA,7.72,5.16,0.0,7.74,0.0,4.124
37,NNscore,bestpose_GNINA,0.0,2.58,0.0,0.0,0.0,0.516
38,Vinardo,bestpose_GNINA,10.3,10.32,2.58,7.74,0.0,6.188000000000001
39,RTMScore,bestpose_GNINA,15.45,2.58,18.08,23.23,30.72,18.012
40,SCORCH,bestpose_GNINA,5.15,0.0,7.75,0.0,0.0,2.58
41,LinF9,bestpose_GNINA,5.15,0.0,0.0,7.74,0.0,2.5780000000000003
42,RFScoreVS,espsim,15.45,0.0,7.75,12.91,2.56,7.734
43,PLECnn,espsim,2.58,5.16,0.0,0.0,0.0,1.548
44,KORPL,espsim,0.0,12.91,2.58,2.58,10.25,5.664
45,CHEMPLP,espsim,10.3,12.91,0.0,0.0,2.56,5.154
46,ConvexPLR,espsim,0.0,2.58,2.58,2.58,2.56,2.06
47,GNINA_Affinity,espsim,2.58,12.91,0.0,5.16,0.0,4.13
48,CNN-Score,espsim,2.58,7.74,0.0,0.0,2.56,2.576
49,CNN-Affinity,espsim,7.72,7.74,2.58,10.32,0.0,5.672
50,AD4,espsim,0.0,7.74,0.0,2.58,0.0,2.064
51,NNscore,espsim,0.0,7.74,0.0,2.58,0.0,2.064
52,Vinardo,espsim,10.3,12.91,0.0,2.58,0.0,5.1579999999999995
53,RTMScore,espsim,5.15,5.16,2.58,5.16,5.12,4.634
54,SCORCH,espsim,7.72,5.16,2.58,0.0,0.0,3.0919999999999996
55,LinF9,espsim,2.58,5.16,0.0,12.91,0.0,4.13
56,RFScoreVS,RMSD,10.29,0.0,7.58,24.36,7.68,9.982
57,PLECnn,RMSD,0.0,5.31,0.0,0.0,0.0,1.0619999999999998
58,KORPL,RMSD,0.0,15.92,10.1,9.14,15.35,10.102
59,CHEMPLP,RMSD,2.57,10.61,0.0,6.09,0.0,3.854
60,ConvexPLR,RMSD,0.0,0.0,5.05,9.14,0.0,2.838
61,GNINA_Affinity,RMSD,0.0,15.92,0.0,15.23,0.0,6.2299999999999995
62,CNN-Score,RMSD,0.0,2.65,0.0,6.09,5.12,2.772
63,CNN-Affinity,RMSD,5.15,5.31,0.0,24.36,2.56,7.476000000000001
64,AD4,RMSD,2.57,2.65,0.0,15.23,0.0,4.09
65,NNscore,RMSD,0.0,7.96,0.0,9.14,0.0,3.4200000000000004
66,Vinardo,RMSD,7.72,15.92,0.0,12.18,0.0,7.164
67,RTMScore,RMSD,0.0,7.96,5.05,18.27,17.91,9.838
68,SCORCH,RMSD,12.86,2.65,2.53,0.0,0.0,3.6079999999999997
69,LinF9,RMSD,2.57,0.0,0.0,21.32,0.0,4.7780000000000005
70,RFScoreVS,bestpose_PLANTS,18.65,0.0,5.12,12.42,5.09,8.256
71,PLECnn,bestpose_PLANTS,0.0,0.0,2.56,0.0,0.0,0.512
72,KORPL,bestpose_PLANTS,0.0,15.33,7.68,12.42,17.82,10.65
73,CHEMPLP,bestpose_PLANTS,15.99,2.56,0.0,0.0,0.0,3.71
74,ConvexPLR,bestpose_PLANTS,5.33,2.56,7.68,7.45,5.09,5.622
75,GNINA_Affinity,bestpose_PLANTS,7.99,15.33,0.0,4.97,7.64,7.186
76,CNN-Score,bestpose_PLANTS,10.66,5.11,2.56,7.45,15.27,8.209999999999999
77,CNN-Affinity,bestpose_PLANTS,15.99,2.56,0.0,4.97,10.18,6.74
78,AD4,bestpose_PLANTS,2.66,7.67,2.56,9.93,2.55,5.074
79,NNscore,bestpose_PLANTS,0.0,0.0,2.56,0.0,0.0,0.512
80,Vinardo,bestpose_PLANTS,13.32,15.33,7.68,2.48,2.55,8.271999999999998
81,RTMScore,bestpose_PLANTS,5.33,7.67,12.81,19.87,20.36,13.208000000000002
82,SCORCH,bestpose_PLANTS,0.0,2.56,2.56,0.0,0.0,1.024
83,LinF9,bestpose_PLANTS,7.99,7.67,2.56,2.48,2.55,4.65
84,RFScoreVS,3DScore,20.62,2.58,10.33,15.46,10.26,11.85
85,PLECnn,3DScore,0.0,0.0,0.0,0.0,0.0,0.0
86,KORPL,3DScore,0.0,2.58,10.33,10.31,12.82,7.208
87,CHEMPLP,3DScore,10.31,10.31,0.0,2.58,0.0,4.640000000000001
88,ConvexPLR,3DScore,7.73,0.0,5.17,10.31,0.0,4.642
89,GNINA_Affinity,3DScore,5.15,10.31,2.58,7.73,2.56,5.6659999999999995
90,CNN-Score,3DScore,5.15,0.0,2.58,7.73,12.82,5.656000000000001
91,CNN-Affinity,3DScore,5.15,2.58,0.0,18.04,2.56,5.6659999999999995
92,AD4,3DScore,5.15,0.0,0.0,18.04,2.56,5.1499999999999995
93,NNscore,3DScore,0.0,5.15,2.58,5.15,0.0,2.576
94,Vinardo,3DScore,7.73,10.31,2.58,7.73,0.0,5.67
95,RTMScore,3DScore,5.15,5.15,12.92,15.46,20.52,11.84
96,SCORCH,3DScore,5.15,0.0,5.17,5.15,10.26,5.146
97,LinF9,3DScore,5.15,2.58,0.0,18.04,0.0,5.154
98,RFScoreVS,spyRMSD,10.31,0.0,12.92,23.19,7.69,10.822
99,PLECnn,spyRMSD,0.0,7.72,0.0,0.0,0.0,1.544
100,KORPL,spyRMSD,0.0,10.29,15.5,7.73,15.39,9.782
101,CHEMPLP,spyRMSD,2.58,10.29,0.0,0.0,0.0,2.574
102,ConvexPLR,spyRMSD,0.0,0.0,2.58,5.15,0.0,1.546
103,GNINA_Affinity,spyRMSD,2.58,15.44,0.0,7.73,0.0,5.15
104,CNN-Score,spyRMSD,0.0,2.57,0.0,5.15,5.13,2.5700000000000003
105,CNN-Affinity,spyRMSD,7.73,7.72,0.0,15.46,2.56,6.694
106,AD4,spyRMSD,0.0,2.57,0.0,12.89,0.0,3.092
107,NNscore,spyRMSD,0.0,7.72,0.0,10.31,0.0,3.6060000000000003
108,Vinardo,spyRMSD,7.73,18.01,0.0,10.31,0.0,7.210000000000001
109,RTMScore,spyRMSD,0.0,7.72,5.17,15.46,17.95,9.26
110,SCORCH,spyRMSD,7.73,2.57,2.58,0.0,0.0,2.576
111,LinF9,spyRMSD,2.58,0.0,0.0,20.62,0.0,4.640000000000001
